Titles	Is Hate?	Is offensive?
You people are lowlife filth and no one gives a fuck if you dieMaybe we could get something done if you were out of the way and don't worry we feel the same way about the RINO's, Globalists, Cowards, and Feckless Beta Bitches that have infiltrated the Republican Party  Meh...	TRUE	TRUE
I have no guilt and no shame for anything I've said here on Gab   I'm just a shitposter, simple as that   But I'm under no illusion that if the Commies were in power right now, I'd be knees down in a ditch catching a bullet with the back of my head   So that means I'll be fighting for free speech even harder now.	FALSE	TRUE
And televised.	FALSE	FALSE
Here is the article by Greg JohnsonRead it and decide for yourselfI agree with some of it, some of it is objectionable     The part about heilgate smacks of ill-willOne can place some blame on Richard Spencer for the seig heiling debacle at NPI, but to not even mention who actually did the heiling when that person is known personally to Greg Johnson is absurdYou can blame Spencer for inviting that individual, but Spencer didn't know that Enoch was going to organize heiling at the NPI event  Who am I talking about? Mike Enoch of courseGreg knows that Mike Enoch did the heiling, and still supported Enoch long after the eventHow can you have a problem with Spencer and not with Enoch for the exact same incident? The answer is that you can't and the incident at NPI is being used battering ram against SpencerThe amnesnia in the rank and file about Mike Enoch's role in the NPI heiling incident is one of the queerer things about the alt-rightProof that Greg Johnson supported Mike Enoch after heilgate below     Of course you can go around saying "don't purge" and then write polemics that if successful will have the exact effect of purging.	FALSE	FALSE
I would probly like superhero movies if they didn’t have so many niggers, i mean obviously no niggers is the optimal amount of niggers but if there’s a few niggers in the background or something it usually makes me really mad but ill still watch it if its good, like The Dark Knight	TRUE	TRUE
Prime Moron in Canada 🇨🇦	FALSE	FALSE
come and fuck me little boy, i will introduce you to some of your obamas immigrants, they love sex with boys like youcall him Hakeem	TRUE	TRUE
#GabFam #Australia   This particular group did a few punchy songs which remain classics to this dayThis was one of them   Daddy Cool - Eagle Rock	FALSE	FALSE
1Not buying it, but I'm not gonna spend all night arguing about it;)   hint:   *Christians* are failing to live up the standards of behavior set for them by their own saviour  Coming from a christian, the argument that pagans are just as bad as christians is a huge fail   *Huge* fail:)	FALSE	FALSE
Nuts	FALSE	FALSE
Do you remember, when Castro emptied the prisons and sent them hereWe don't know what lurks in this crowd.	FALSE	FALSE
Fucking idiot is an agoraphobic cunt	TRUE	TRUE
UK Sending 800 Troops To The Arctic To Target Russia	FALSE	FALSE
Doesn't NFL stand for "NATIONAL FAGGOT LEAGUE".......Ever since they started Hiring MALE CHEER LEADERS?........	TRUE	TRUE
Wholesome life lesson from a redneck	TRUE	TRUE
No No links to the Middle East Links to Europe and Europe only Stop being a fucking REEtard	FALSE	TRUE
I posted this meme and some f*ckin feminist went off on me...lol   I sent her this and said the word cunt is the least of feminist worries!	TRUE	TRUE
Exactly! What the hell have any of these little pukes done in their short time here, but blame others for many things the others had no control ofThey don't even know any real history and try to give us all lessons on how they'll fix what can't be fixed without EVERYBODY on board	FALSE	FALSE
Yeah she did say that but we all know the bbc is part of the cover up do you see rape gangs being mentioned on the evening news no you don't what you see is far right ex EDL leader Tommy Robinson is the enemy he and his follower's are the problem not islam can't stand the bbc	FALSE	FALSE
I have a clue about thisI am part Boer and a Rhodesian in the diasporaAussie friends will not listen despite this chart..no that is not white immigration.	FALSE	FALSE
Gavin Mcinnes claims to be straight right before he tongue kisses a flaming faggot in front of a crowdI need no further information	TRUE	TRUE
Allah be retarded	TRUE	TRUE
Nothing that faggot ass kenyan piece of shit  obungler has to say would interest me!	TRUE	TRUE
The fuck is with this shit cunt website constantly logging me out and giving me some generic newsfeed of normalfaggotry?   BOTTOM TEXT	FALSE	TRUE
you're a retard who doesn't know what marxism is	FALSE	TRUE
you jew haters are just jeaouls lost soul losers in life with no hopes or dreamsyou are some pathetic worthless cocksuckers who should shoot yourselves in the face with a shotgunGet a life and stop being jealous of winners you fucking sperm guzzling faggot bitches....bwahhhhhhhhhhhhhhhhhhhhhhhh	TRUE	TRUE
good,,she looks retarded anyways,,,lol	FALSE	TRUE
