text,label
@USER nigga are you stupid your trash dont play with him play with your bitch 😂,IND
#Liberals Are Reaching Peak Desperation To Call On #PhillipRuddock To Talk With #Turnbull To Convince Him To Help with #WentworthVotes 18 Sept 2018  @USER #Auspol #LNP #NSWpol @USER  @USER @USER #LNPMemes URL,GRP
#ChristineBlaseyFord is your #Kavanaugh accuser... #Liberals try this EVERY time... #ConfirmJudgeKavanaugh URL,IND
#ChristineBlaseyFord is only being harassed by members of the Antifa the radical arm of the Democratic Party funded by George Soros.  #VoteRedToSaveAmerica,GRP
"#Liberals / #Democrats THIS is what you stand for. If not, then #WalkAway URL",GRP
"#OrrinHatch I can’t believe this sexist , clueless, old fart gets to weigh in on another woman’s charges against a Supreme Court nominee. And he is spouting the same old nasty shit he spewed 20+ years ago against Anita Hill. His time’s up! Good riddance Neanderthal!",IND
#GeoffreyOwens niggas don’t really understand...levels to career pursuits,IND
#NoOneAskMe But here's my opinion #offset keeping this beef up between #cardiB and @USER he know Cardi slow and believe everything he says.. She is his meal ticket. I just think #offset need to sit his ugly ass down.,IND
@USER #Rosie makes me nauseous!🤮 URL,IND
#ArunJaitleyStepDown He is most shameless #FM in history of India and audacity and shamelessness with which is lies in public is disgrace to post.,GRP
"#LiberalHypocrisy #TacoBell When Liberals ask why your against illegal immigration? Taco Bell Employee: No Habla Ingles!"" URL",IND
Alright let me get right with God bc Mother Nature is like fuck humans URL,GRP
$1500 for a phone. You all are fucking dumb.,GRP
"@USER The difference between you and I as I stated before, and this inane asinine comment have solidified is I bring facts and truth, while all you have is lies and bullshit. Present a single shred of credible evidence to support a single thing you've just said. Lies is all you've got.",IND
@USER @USER I'll use that one the next time im in a gun control debate or in a debate about free speech or taxes. Yes you can choose to be irresponsible or choose not to be. I argue responsible. Whats wrong with that? Don't justify murder by saying it was never alive or its my right.,GRP
Another season for Tom Brady to give it to these niggas,GRP
"$10 Million reallocated from FEMA to ICE. This guy gives zero shits about anyone not named Trump. If you’re in the mid Atlantic, get out. Now. URL",IND
@USER To demonstrate how wholly incapable of carrying a thought to its logical conclusion she is?,IND
#GreatestThingsAboutThe90s liberals weren’t unhinged,GRP
#scottgimple ruined #TheWalkingDead and now he is doing the same to #FearTWD . Hope the checks cash forever because he should never get another job. #AMC,IND
@USER @USER As I have said the media and money Soros with dip shit Waters is creating a civil war.,IND
#BiggBossTelugu2 how many of you #KaushalArmy cum @USER fans... URL,GRP
#LiberalHypocrisy #criminal #democrat #evidence #ellison #liberals #Hypocrites Keith Ellison domestic violence accuser says Democratic party doesn't believe her story  URL,GRP
#ChristineBFord #LiberalsAreDesperate @USER every time liberals don't get there way they cry racism or sexual assault. Hard to believe,GRP
"#CoryBooker is not a hero, he is an American traitor and should be treated as such. Arrest, prosecute, and  carry out sentence. #KavanaughConfirmation URL via @USER",IND
@USER 'cause everyone knows a real leader falls into a van like a sack of potatoes.....,IND
