text,label
I wanna look like a whole different bitch on my birthday 😂 I just need a new hair color,0
Whoever stole my lip stick bag last night thanks! Just remember karma is a bitch. 👈,0
@_DonJulio1 😂😂 don shut yo crybaby ass up bitch you be hoeing ppl all day on this bitch,0
"Ion care what a bitch think or how a hoe feel , cause ain't none of you hoes paying my bills in ain't none of you hoes finna get me a crib",0
"Love is a bald headed ugly ass slut bitch, but hey we all have it in our hearts and go through the good and bad of it..",0
"👦🚓🚨 you my nigga!!! You a bitch tho I'll fuck you up bitch. 2k , madden? Anything hoe",0
I'm not about to wash a grown ass man dishes. Bitch I don't live with you or contributed to that filth. Hoe you NAS… https://t.co/dbNbxezC06,1
Update: Blocked the bitch. Fuck that cunt.,1
"If your white, red, and blue converse are no longer white THROW THEM TF AWAY! I'm tired of seeing them dingy ass shoes. Ya ain't cute bitch",0
"It legitimately makes me sad when people try to use whore/slut as an insult, it's 2017 lol stop living in 1887",0
"Fuck U bitch! He wasn't a fictional person, he was an internet manwhore!! He brainwashed me & never wanted to SKYPE ME & he used me for",0
@grapeskittle0 I'm a basic bitch what can I say,0
@STONEWHORE She looks like a bitch I'm in love,0
Who try to cut into a female then ask them to come over! Nope bitch cause I'm bout to hoe you 🙌😂😂😂😂😂 hang up on me neowwwww,0
Hoes Will Get A Room. Invite you. Swear Up & Down You The Only Nigga She Invited. Then When You Get There That Bitch Be Full Of Niggas 😐😂,0
BITCH HOW CAN U SAY THIS WHEN UR A WHITE MANS WHORE. https://t.co/sJzng7ywdd,1
Me and Jayleen literally came at this bitches life because she thought she would be a cunt,0
I love females that remember that they are women not men that irks the fuck out of me when females be out here acting like dudes bitch relax,0
Disgusting White Supremacist Whore. Drown in Semen bitch.... https://t.co/mqwqz4I9Lc,1
"bitches be mad I'm not pressed over them. sorry, wrong whore 😭",0
Im tired of these im a gangster ass hoes 😂😂 bitch you don't even know how to reload a gun and don't know where the safety at,0
Don't let these jealous hoes trick you into thinking you ugly . Slay bitch 👑,0
I like my niggas mean😍😍😍 If a bitch touch you look at her like she got horse shit on her shirt😘 and tell that hoe too back tf up 😁,0
@1932837484737c Omg bitch....this whole time I thought u were talking about avatar,0
Bitch shut the fuck with your muggle ass...avada kedavra hoe https://t.co/6I9jU4PURi,1
bitch im gonna get that damn pair of shoes aMEN,0
"@jakepaul ""That's a taboo word in today's world"" not when your own son is being an absolute cunt, bitch.",0
I was singing in front of my whole family and I accidentally said bitch I feel so exposed,0
Other people: gosh darn it  Me: god damn tittie fucking cunt ass bitch mother fucker,0
"all these niggas that be friends stay in my DM.. bitch i am not a hoe, and no you will never fuck. y'all so damn annoying !!!!!!",0
"It's funny trying to be told what to do  I will wear what I want  Talk to whoever I want  Post whatever I want  & be whoever I want to be, bitch",0
"Going back to Cali strictly for the weather, women and the weed, Sticky Green! No seeds, bitch please ! - Biggie Smalls",0
YOU BEAUTIFUL   YOU VALUED BITCH  YOU ARE A SPECIAL TREASURE AMONGST MANY KINGS HOE  YOUR WORTH IS IMMEASURABLE BY ANY EARTHLY UNIT    NIGGA,0
