tweet_id	gold_label	sentence1	sentence2
86426	entailment	@USER She should ask a few native Americans what their take on this is.	This is offensive speech.
90194	entailment	@USER @USER Go home you’re drunk!!! @USER #MAGA #Trump2020 👊🇺🇸👊 URL	This is offensive speech.
90194	entailment	@USER @USER Go home you’re drunk!!! @USER #MAGA #Trump2020 👊🇺🇸👊 URL	This is targeted offense.
16820	contradiction	Amazon is investigating Chinese employees who are selling internal data to third-party sellers looking for an edge in the competitive marketplace. URL #Amazon #MAGA #KAG #CHINA #TCOT	This is offensive speech.
62688	entailment	"@USER Someone should'veTaken"" this piece of shit to a volcano. 😂"""	This is offensive speech.
43605	contradiction	@USER @USER Obama wanted liberals &amp; illegals to move into red states	This is offensive speech.
97670	entailment	@USER Liberals are all Kookoo !!!	This is offensive speech.
97670	entailment	@USER Liberals are all Kookoo !!!	This is targeted offense.
77444	entailment	@USER @USER Oh noes! Tough shit.	This is offensive speech.
52415	entailment	@USER was literally just talking about this lol all mass shootings like that have been set ups. it’s propaganda used to divide us on major issues like gun control and terrorism	This is offensive speech.
52415	entailment	@USER was literally just talking about this lol all mass shootings like that have been set ups. it’s propaganda used to divide us on major issues like gun control and terrorism	This is targeted offense.
45157	contradiction	@USER Buy more icecream!!!	This is offensive speech.
13384	entailment	@USER Canada doesn’t need another CUCK! We already have enough #LooneyLeft #Liberals f**king up our great country! #Qproofs #TrudeauMustGo	This is offensive speech.
13384	entailment	@USER Canada doesn’t need another CUCK! We already have enough #LooneyLeft #Liberals f**king up our great country! #Qproofs #TrudeauMustGo	This is targeted offense.
82776	contradiction	@USER @USER @USER It’s not my fault you support gun control	This is offensive speech.
42992	contradiction	@USER What’s the difference between #Kavanaugh and @USER   One of these men admitted to groping a 15 year old girl years ago.  The other is going to be #confirmed to the SCJ   #DemsareFrauds #DemsAreDone   #WalkAwayDemocrats2018 #redwave #VoteRedSaveAmerica #trumptrain #MAGA URL	This is offensive speech.
28414	entailment	@USER you are a lying corrupt traitor!!! Nobody wants to hear anymore of your lies!!! #DeepStateCorruption URL	This is offensive speech.
28414	entailment	@USER you are a lying corrupt traitor!!! Nobody wants to hear anymore of your lies!!! #DeepStateCorruption URL	This is targeted offense.
54920	contradiction	@USER @USER @USER It should scare every American!  She is playing Hockey with a warped puck!	This is offensive speech.
56392	contradiction	@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER I like my soda like I like my boarders with a lot of ICE.	This is offensive speech.
86735	contradiction	@USER you are also the king of taste	This is offensive speech.
95686	contradiction	#MAGA @USER  🎶 Sing like no one is listening  ♥️ Love like you've never been hurt  ✔️ Vote GOP when no one is watching  🙉  And don't listen to Liberals' dirt URL	This is offensive speech.
71446	contradiction	"5/5: @USER The time is right for this House to respond to the concerns of all Canadians. Four out of five Canadians support stronger gun control and with good reason.” #guncontrol #cdnpoli #cdnhist"""	This is offensive speech.
23958	contradiction	@USER Besides Jax’s mom and maybe Ope he is hands down my favorite he’s like the only good person on the show 😂	This is offensive speech.
28195	entailment	@USER @USER @USER gun control! That is all these kids are asking for!	This is offensive speech.
28195	entailment	@USER @USER @USER gun control! That is all these kids are asking for!	This is targeted offense.
56117	entailment	@USER @USER @USER @USER LOL!!!   Throwing the BULLSHIT Flag on such nonsense!!  #PutUpOrShutUp   #Kavanaugh   #MAGA   #CallTheVoteAlready URL	This is offensive speech.
56117	entailment	@USER @USER @USER @USER LOL!!!   Throwing the BULLSHIT Flag on such nonsense!!  #PutUpOrShutUp   #Kavanaugh   #MAGA   #CallTheVoteAlready URL	This is targeted offense.
67757	contradiction	@USER @USER You are correct.	This is offensive speech.
12681	entailment	@USER @USER Kind of like when conservatives wanna associate everyone to their left as communist antifa members?	This is offensive speech.
12681	entailment	@USER @USER Kind of like when conservatives wanna associate everyone to their left as communist antifa members?	This is targeted offense.
82904	entailment	@USER @USER Da fuck is going on people?   There's the men's room and the women's room  Pick one and stick w it 🤔	This is offensive speech.
82904	entailment	@USER @USER Da fuck is going on people?   There's the men's room and the women's room  Pick one and stick w it 🤔	This is targeted offense.
63236	contradiction	@USER Been a Willie fan since before most of you were born....LOVE that he is holding a rally with Beto.... Exactly WHICH fans are furious?  Could you give some specifics? URL	This is offensive speech.
77665	entailment	@USER Tbh these days i just don't like people in general i just don't connect with people these days just a annoyance..	This is offensive speech.
77665	entailment	@USER Tbh these days i just don't like people in general i just don't connect with people these days just a annoyance..	This is targeted offense.
83484	contradiction	"South Korean Official: “Leaders will discuss specific denuke measures in Pyongyang”""  URL #TCOT #MAGA #RedNationRising"""	This is offensive speech.
74932	contradiction	@USER @USER You can tell he is a hooper too	This is offensive speech.
91252	contradiction	@USER I feel like he is better chasing the title	This is offensive speech.
25440	entailment	@USER @USER @USER She?  To whom are you referring to?  Hillary?  You know what is tiresome?  Bernie supporters bashing Hillary Clinton.  She is an actual Democrat who raises money for the Democratic Party and doesn’t bash them.  She has a positive message.  So who is dividing the left?	This is offensive speech.
81613	contradiction	@USER Glad to see your friends are supporting Metis rights as much as you are supporting Zionists. URL	This is offensive speech.
82333	contradiction	@USER Yes you are but I was asking what is it about the movie ?🤷‍♂️👀	This is offensive speech.
12609	entailment	The only thing the Democrats have is lying and stalling to stop Trump from being #President.  What have they done for you lately. #Trump #Kavanaugh #MAGA #DEMSUCK	This is offensive speech.
12609	entailment	The only thing the Democrats have is lying and stalling to stop Trump from being #President.  What have they done for you lately. #Trump #Kavanaugh #MAGA #DEMSUCK	This is targeted offense.
13017	contradiction	@USER No wonder he is being apologetic and more social these day....	This is offensive speech.
18129	contradiction	@USER @USER @USER Any updates re ending your blatant #racism as #Windrush &amp; #Grenfell proves you are  @USER @USER #alloutpolitics #politicslive #PMQs @USER URL	This is offensive speech.
70380	contradiction	@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Do you know what’s going to happen now?  I’m going to have to lay in bed and cry while I listen to Kelly Clarkson. Thanks free speech antifa.	This is offensive speech.
12108	entailment	@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER You are not very smart are you? Why do you think Gen Flynn’s sentencing keeps being rescheduled? URL	This is offensive speech.
12108	entailment	@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER You are not very smart are you? Why do you think Gen Flynn’s sentencing keeps being rescheduled? URL	This is targeted offense.
14726	entailment	@USER @USER @USER That's expected if you placate the violent leftists/terrorists. #KavanaughConfirmation #woke	This is offensive speech.
14726	entailment	@USER @USER @USER That's expected if you placate the violent leftists/terrorists. #KavanaughConfirmation #woke	This is targeted offense.
74358	contradiction	@USER Blow hard	This is offensive speech.
82599	contradiction	@USER @USER @USER That means you are a max lvl. Twitter user and maybe should try a new game	This is offensive speech.
40212	contradiction	"@USER @USER Please explain what controlled opposition"" means.  As for Bernier escaping, he split with the rest of the Conservatives because he's even more racist and exclusionary than they want to be."""	This is offensive speech.
78367	contradiction	@USER @USER @USER @USER @USER Socialists politics that stand up for the downtrodden. And well done for conflating criticism of Israel with anti semitism. You are also part of the problem.	This is offensive speech.
66596	contradiction	3. Nina  One of the reasons I didn't read this book for so long was because I was SO WORRIED about her character. I should've trusted everyone. Nina is a goddamn goddess I would die for a thousand times over. She is big and bold and lovely and PERFECT. HER ARC. IS. PERFECT.	This is offensive speech.
70999	contradiction	.@USER @USER @USER @USER @USER  PLEASE vote NO on Kavanaugh. He is not fit for SCOTUS and allegations about women and shady financials should disqualify him.    #RuleOfLaw matters. #MeToo #CountryOverParty #WithdrawKavanaugh  #StopKavanaugh	This is offensive speech.
36026	contradiction	"@USER @USER Ppl who say I'm not racist"" are racist. You Are A Racist. Repeat after me"""	This is offensive speech.
