text,label
#OITNB. She is the worst public defender. Trailing her pen uner the words.,UNT
$b album definitely worth the fucking wait,UNT
5k Bitches 🎉💙,UNT
3 people just unfollowed me for talking about merlin sorry y'all im still up covinsky's ass im just waiting for a psisly sequel announcement ive run out of witty and funny tweets about tatbilb i am drained,UNT
"#1 son,  knockin it out the fuckin park...... URL",UNT
*voice in my head while I transfer money to my credit card* “bullshit that I bought and have to pay for”,UNT
"#TheArchers I want to be brilliant at Karate so I can kick the shit out of everyone""""",UNT
"#Benghazi  #Haiti  #UraniumOne  #SethRich What more does the justice department need? No double standards! Just because you're Rich and Powerful doesn't mean you can rob, seal and murder! #DrainTheSwamp  #HillaryForPrison  #VoteRed #MAGA URL",UNT
$uicideboy$ ON HALLOWEEN its aboout to get sooooo FUCKING spooky,UNT
#BREAKING. #Greece: Molotov cocktails fly after protest honouring killed antifa arti... URL via @USER URL,UNT
@USER Nigga ware da hits at,UNT
......bitch what URL,UNT
#HowToGetPeopleOutOfYourHome  Tell them that you're a vampire...then threaten to eat them if they don't get their asses out.  *shrugs*  What?  Problem?,UNT
"#Repost theleadersmindset • • • 📍Hola Leaders!🔥 ✔️Type “READY” if you are ready to follow this steps. - “ Set goals, stay quiet about them, smash the shit out of them, clap for your damn… URL",UNT
1 tf. He saw that shit. URL,UNT
@USER fuck,UNT
"28, 27, 25 and 21 but like,, it’s still really miserable and unpleasant for us?? And like they even told me how they weren’t happy and would have got divorced before I was even born so I’m like cool cool I was literally born into hatred that’s awesome no wonder I’m such a fuckup",UNT
2018 not surprised it starts from the top!!!  Karma a bitch watch!!!! URL,UNT
7 fucking years. #MyTwitterAnniversary URL,UNT
(cr1tikal voice) smef my ass cheeks,UNT
0-1 lost my acca on the first fucking fight cba,UNT
And apparently I'm committed to going to a new level since I used the key.  Well FUCK.  Curiosity killed the Cat(hy),UNT
*Extremely* back on my bullshit. URL,UNT
Ain’t nobody shit if you ask me... including myself.,UNT
#LifeIsButepu when you have sex anytime you want but you are single,UNT
#SugarDaddy Retweet if you are under 30 and would like share memes with each other and we can talk about dumb shit. Cuz baby I’m broke as shit but this love rich URL,UNT
2 weeks of resp done and I still don't know shit my ass still on vacation mode 😪,UNT
