text,label
"I hate a bitch that think she know me, friend or not bitch you only know what I tell you. Speak on what tf you know hoe🖕",1
You a bitch   You a hoe   That's just my philosophy,1
"& for the hoe that think she don't do what the dummies do... you's a dummy bitch, and a ugly one at that! 🚮",1
Aww damn shawty dated the one boy now she dating his friend bitch you a slore you can't even. Be called a whore,1
"He said ""I can't fuck your bitch, but I can tie my shoes.""😢😢",1
"ILLEGAL IMMIGRANT arrested in North Louisiana, accused of rape and human trafficking #BuildThatWall #MAGA via @WWLTV",1
"Gold digging, incompetent, ignorant, insecure, Goliath ass bitch. Well fuck you. I'm David. I got my damn slingshot. Gtfo my house hoe",1
Previously Deported Illegal Alien Charged With Raping 15-Year-Old Girl In Kansas How many more victims?#BuildTheWall#DeportThemAllCrime was committed with premeditation during the commission of a Felony.#LifeWithoutParole#DeathPenalty,1
"@1BossTrip Bitch stop it, bum ass hoe you lame as hell Rudy",1
"😂😂😂 ""Queening"" ? BITCH, you tried it! 💀 more like bumming with hoe intentions",1
"""Previously Deported Child Molester Re-Arrested In Arizona does """"sentenced to 8 years of intensive supervision"""" mean? He is re-entering US 7 years later!#BuildTheWallNow #MandatoryFullPrisonTerm #NoPleaBargain#DeportThemAll""",1
@Liloleedorothy BITCH YO DIRTY ASS SEE ME CALLIN YOU HOE FUCK U IM OTW TO YO GRANNY HOUSE LIKE RN !,1
@ray_kaoir2x 😂 ok hoe I let you have your lil laughs where the horse mouth bitch at ?,1
why is this bitch ass whore sayign she wot give me my money cause i kept talking shit about her.,1
@_DestineeT Bitch you gay hoe,1
"@datdarnmorgan bitch don't @ me with your ugly ass. Go find a hobby, instead of reading off blogs you dumb ass hoe.",1
"umm bitch for all I know, their relationship wouldn't be that wrecked if you haven't been bitching around you thirsty hoe",1
@stonecrackwhore choke bitch,1
"Let this hoe touch this kid I swear to fucking god I will murder you bitch, FACTS",1
Hey Bitch stop quoting Jimmy Tatro you fake ass bitch hoe,1
"I hate a hoe that wanna be bold asf till you confront they ass 😑 then they all like ""I never said that"" bitch stfu and catch this shit",1
"bitch you & y'all weak ass body oil selection can suck my clit backwards, hoe.",1
You be chasing them hoes fuck what a bitch think,1
You can fuck my bitch you can have my hoe,1
I’ll tell the baddest bitch around “hoe you uglier than Tory Lanez’s jumpshot”,1
i promise i don't miss you bitch shut ur whore mouth tysm,1
@theboujieeone lmfao oh you serious? 😂 hoe i was playing with yo rock head ass. janae don't play with me. you know how I rock lil bitch!!!💯,1
@universedolan fucking cunt bitch,1
You a hoe if you crying because yo ass pregnant. It was all smiles while you was riding that dick bitch.,1
"This bitch so pressed lmfao, like Dana still sleeps good at night move on you lame ass hoe😂 https://t.co/Kghf2x6t1F",1
cheaters deserve to die . bitch im giving youu my all & youu fucking somebody else . DIEE HOE,1
"you're a hoe. stop trying to put another female down just because you wanna look ""funny"" for twitter. nooo you're a petty bitch.",1
@tawt_ @chhhou FUCK U TOO BITCH CUNT,1
"@msxtremesbitch That's a good bitch, I will be coming to Toronto by end of the year so you can kiss my shoes! LOL",1
You bought that bitch a pair shoes I bought a pipe lil nigga aint neva use one squeeze dat bitch with all my might lil nigga,1
@iiM_JusJerricka Yea yea bitch see you at 6 . Ain't shit around my mouth y'all hoes love making shit up . & PRETTIER THAN YOU !!!!,1
don't say it in a curious cat bitch whoever tf you are,1
"@MichaelHahnn Bitch I already did that shit, but I'll do it again to prove you a hoe",1
Am I the only one who agrees with Montana??? Gabby is a snakey cunt karmas a bitch😘😘 #loveisland2017,1
Bitch our streak is dying @CuntessLady https://t.co/zEhSRma558,1
If you can go to a bitch house and FUCK her nigga them hoe you better help pay rent in that mf !!!!!,1
She called me a thot bitch you's a lil hoe too,1
"stop being an overdramatic bitch... if u were in my shoes, and wake up with the news that your idol committed suicide what would u feel",1
@___ladykocaine 😂😂😂 these hoes trying to link and fight I might kill you bitch,1
So now you friends with JAVEN bitch fuck you hoe ! ... — OMG BITCH😂😂😂😂 https://t.co/ufmU0wSw8r,1
leave halsey alone u dumb ass fucking bitch i'll come for ur family you idiotic hoe,1
My momma should've killed my pop and his cunt bitch lmao. At 6 I would've been like TAG ME IN MA!!! Slicing ankles and shit.,1
"@lilashley1994 I'm not drove bitch, you THINK YOURE DRIVING ME BUT THE GAG IS, I'm not mad and I'm beating yo ass now. Bum hoe",1
Bitch they done free'd the OJ 😂😂😂 you hoe mad lol,1
"@Only1SummerLove is a old hoe now, y'all. Bitch is 30 while I'm still a young tender 21. Not sure how that happened 🤔",1
You mad you a easy hoe a nigga can say some nice and you in love 😒 bitch,1
Just like every other social justice cunt: bitch doesn't know anything about the economy. https://t.co/Bb6r5h99dt,1
"So the bitch that got my husband's schedule changed from 5-2 to 12-2 by complaining is skipping work???? I don't think so, cunt 🤔",1
got the same cum dumpster whore i always get at post office. gave me a hard time. bitch.,1
Your bitch a hoe I be fuckin her mouth if she ain't fuckin I'm kickin her out 🙄,1
lol i will beat the dog shit outta this bitch bruh i swear that 5 hour drive ain't shit i already don't like you lil hoe.,1
I can be around a bitch and they only know my real name . Keep these hoes out your business baby,1
Bitch shut the fuck with your muggle ass...avada kedavra hoe https://t.co/6I9jU4PURi,1
@melaniecuco Bitch ass😂😂😂😂 hop off ceyduh & jay's dick hoe. The bitch you defending isn't even talking anymore SKKURTTT,1
Any mfing time this hoe always trying to make it seem like I'm the bad person you call for your daughter bitch you got her.,1
Woman Dies After Being Pushed Out Of Speeding SUV By Previously Deported Illegal Alien via @USIACrimeReport#BuildTheWall #NoAmnesty #NoDACADeal #DeportThemAll,1
Fuck a bitch these hoes Trife I anit looking fa no wife if a nigga fall off you think that hoe gone getchu right,1
Omar's ex is the biggest cunt ass bitch I have ever heard of if this annoying ass washed up art ho don't STFU actin like she somebody ~sigh~,1
"Omfg this bitch is so annoying always talking shit about everything, get a hobby & stay out of everyones business you damn attention whore",1
Hoe you save my messages on SC bitch I'm blocking you,1
Lana i love you bitch. Put that flag back up hoe 🇺🇸 #lustfoflife,1
@ZCWproductions Cunt boy got it fucked up. I handle shit and handled his bitch ass,1
Bitch no one worried bout you you a hoe no ones worried bout you 😂,1
sarah the triceratops is such a bitchy lil cunt,1
But I'll just look at God and be like...let that worthless cunt cry a fucking river until she drowns herself in it...fucking hypocrite bitch,1
Illegal Alien (Who Obama Released) Sexually Assaulted 14-Year-Old Girl In New York via @USIACrimeReport@realDonaldTrump #NoDACADeal #BuildTheWall #KeepAmericaSafeWhy is he still here?#DeportThemAll #ProtectOurChildren,1
