text,label
"Is the penny finally dropping? We have imported enough rape, murder and violence already, turn the boats round we dont want them.#SendThemBack #RapeugeesNotWecome",1
If this happens there will be a civil war! #EnoughIsEnough #EndIllegalImmigration #DeportThemAll #BuildTheDamnWall,1
@ray_kaoir2x 😂 ok hoe I let you have your lil laughs where the horse mouth bitch at ?,1
#WomanFightsOffGang #BuildThatWall #VoteDemsOut #MAGA #INVADERS They Seek To #DestroyFromWithin #NeverForget #September11th #Benghazi #StopVoterFraud @Jim_Jordan @SaraCarterDC @SandraTXAS @realDonaldTrump @RepDevinNunes @marklevinshow @13hours,1
@HoesAn_Bay2x You dirty bitch,1
@EstradaCrystal_ bitch I was fuckn up till 4:30 but your hoe ass didn't text me back. 😡,1
this bitch @mommacueva is a hoe. u wanna fuck my best friends boy multiple times when you know they're dating cause youre a crusty ass bitch,1
@SenatorLankford #NoDaca #NoAmnesty #NoAnchorBabies 2 illegals do not make a legal #BuildTheWall,1
"#ChildSexTrafficking #IllegalAliens #ChildTrafficking #WakeUpAmerica THEY ARE HERE TO KILL OUR KIDS BECAUSE BUSH, CLINTON, OBAMA KILLED THEIR FAMILIES IN MIDDLE EAST! This war started in Tripoli WHEN THE MUSLIM PIRATES ATTACKED OUR NAVY SHIPS WAR 1812",1
Oh hell no send the whole plane back smh #jfk #sickpeople #runningfever #nyc #dubai #sendthemback,1
@fuckitup_rudy @hoesluvKayla so why you followed me la bitch? you and your what? 😂😂😂😂😂😂😂,1
"@AhsanNasir5 @enough14 @AZeckenbiss Gtfo off europe. Here is no place for you, you rapefugee.",1
Thousands rally in Germany for migrant rescue missions.Idiots! #deportThemAll #deportAfricans #deportMuslimFreeloaders #destroyQuran #destroyDeathCult #IslamNotReligion #destroyMosques #banSharia #banHijab #banBurka,1
Calling hoes rudness gulliani. Lmfao fight me bitch god damn ill fucking kill you. Weeeeee.,1
@FAIRImmigration @BreitbartNews @JxhnBinder Make sure this ILLEGAL ALIEN spends the rest of his life behind bars and make sure his remains are deport at the end of his miserable life.#BuildThatWall,1
"T went from ""rape a pregnant bitch and tell my friends I had a threesome"" to singing about gardens and love wow the character growth",1
"I hate Fiona , dis bitch a fucking whore 😂😂",1
#Immigrants Should Not Be Public Charges Burdening U.S Taxpayers if they need welfare-#SendThemBack #Trump #MAGA #RedNationRising #Immigration #NoDACA,1
